,login,reponum,code,star,commit,Objective-C,Clojure,Java,Go,JavaScript,Swift
0,ryanhornik-as,0,0,0,0,0,0,0,0,0,0
0,rokgregoric,7,6619,8,246,53522,0,0,0,0,0
0,jdanthinne,12,15510,61,440,0,0,0,0,13039,0
0,morten-krogh,14,225936,28,1293,0,0,0,0,0,0
0,mrackwitz,15,91442,3163,950,3450,0,0,0,0,0
0,sora0077,77,181135,42,1746,423236,0,0,0,0,0
0,AnthonyMDev,16,105265,151,514,82650,0,0,0,0,0
0,bnickel,21,65594,84,333,0,0,0,0,262108,0
0,koyachi,57,530878,498,473,0,0,0,0,0,0
0,esuEichi,10,837193,1,150,0,0,0,0,2153,0
0,adomanico,0,0,0,0,0,0,0,0,0,0
0,beeender,18,108861,444,549,0,0,0,0,0,0
0,lesyk,9,23183,2,101,164856,0,0,0,17349,0
0,RafaelPlantard,41,334545,2,382,0,0,0,0,0,0
0,danielgindi,98,182160,25910,4746,0,0,0,0,5857,0
0,IljaKosynkin,9,23231,133,82,33746,0,0,0,0,0
0,skydivedan,2,2021,0,9,0,0,0,0,0,3636
0,JadenGeller,5,3908,31,117,17442,0,0,0,0,0
0,zaki50,58,665028,206,1365,0,0,0,0,0,0
0,ZhengzheYang,8,1171082,4,108,0,0,137756,0,0,0
0,johnma14,2,3,0,2,0,0,0,0,0,0
0,lambdai,12,482999,3,1407,0,0,0,0,641252,0
0,zirain,11,169196,5,452,0,0,0,0,0,0
0,howardjohn,32,1675970,181,655,0,0,0,0,88574,0
0,litong01,27,192645,18,1167,0,0,0,0,111815,0
0,stevenctl,35,288271,10,401,0,0,0,0,5279,0
0,ceastman-r7,0,0,0,0,0,0,0,0,0,0
0,bianpengyuan,7,570382,8,113,0,0,0,9679,0,0
0,ericvn,1,214,0,6,0,0,0,0,0,0
0,dddddai,4,54707,1,1220,0,0,0,11450,0,0
0,nmittler,7,57261,1,88,0,0,750148,0,0,0
0,Monkeyanator,27,2886807,11,430,0,0,40250,0,0,0
0,ramaraochavali,3,152,0,5,0,0,0,0,0,0
0,costinm,28,1500315,31,885,0,0,0,0,0,0
0,frankbu,2,313,0,4,0,0,0,0,0,0
0,lgadban,11,17078,1,77,0,0,0,0,0,0
0,ruigulala,5,18605220,13,396,0,0,0,0,0,0
0,lei-tang,2,38864,0,58,0,0,0,0,0,0
0,zhlsunshine,8,383747,0,23,0,0,0,8396118,0,0
0,hzxuzhonghu,6,9656,4,23,0,0,0,0,0,0
0,shankgan,0,0,0,0,0,0,0,0,0,0
0,douglas-reid,4,2700348,0,36,0,0,0,179661,0,0
0,therealmitchconnors,7,4083,0,82,0,0,0,0,0,0
0,esnible,7,325078,9,97,0,0,0,0,0,0
0,yangminzhu,5,2835166,0,35,0,0,0,0,0,0
0,morvencao,15,1529194,540,449,0,0,0,24618,0,0
0,ostromart,1,5955667,1,52,0,0,0,311100,0,0
0,richardwxn,9,1401695,3,44,0,0,51985,0,0,0
0,hanxiaop,8,126951,1,24,0,0,0,0,0,0
